"id","code","slug","city_id:id","name","zipcode"
"res_country_district_1","VN-70-lap-thach","lap-thach","res_city_81","Huyện Lập Thạch","700000"
"res_country_district_2","VN-70-tam-duong","tam-duong","res_city_81","Huyện Tam Dương","700000"
"res_country_district_3","VN-70-tam-dao","tam-dao","res_city_81","Huyện Tam Đảo","700000"
"res_country_district_4","VN-70-binh-xuyen","binh-xuyen","res_city_81","Huyện Bình Xuyên","700000"
"res_country_district_5","VN-70-yen-lac","yen-lac","res_city_81","Huyện Yên Lạc","700000"
"res_country_district_6","VN-70-vinh-tuong","vinh-tuong","res_city_81","Huyện Vĩnh Tường","700000"
"res_country_district_7","VN-70-song-lo","song-lo","res_city_81","Huyện Sông Lô","700000"
"res_country_district_8","VN-18-nho-quan","nho-quan","res_city_82","Huyện Nho Quan","700000"
"res_country_district_9","VN-18-gia-vien","gia-vien","res_city_82","Huyện Gia Viễn","700000"
"res_country_district_10","VN-18-hoa-lu","hoa-lu","res_city_82","Huyện Hoa Lư","700000"
"res_country_district_11","VN-18-yen-khanh","yen-khanh","res_city_82","Huyện Yên Khánh","700000"
"res_country_district_12","VN-18-kim-son","kim-son","res_city_82","Huyện Kim Sơn","700000"
"res_country_district_13","VN-18-yen-mo","yen-mo","res_city_82","Huyện Yên Mô","700000"
"res_country_district_14","VN-59-u-minh","u-minh","res_city_83","Huyện U Minh","700000"
"res_country_district_15","VN-59-thoi-binh","thoi-binh","res_city_83","Huyện Thới Bình","700000"
"res_country_district_16","VN-59-tran-van-thoi","tran-van-thoi","res_city_83","Huyện Trần Văn Thời","700000"
"res_country_district_17","VN-59-cai-nuoc","cai-nuoc","res_city_83","Huyện Cái Nước","700000"
"res_country_district_18","VN-59-dam-doi","dam-doi","res_city_83","Huyện Đầm Dơi","700000"
"res_country_district_19","VN-59-nam-can","nam-can","res_city_83","Huyện Năm Căn","700000"
"res_country_district_20","VN-59-phu-tan","phu-tan","res_city_83","Huyện Phú Tân","700000"
"res_country_district_21","VN-59-ngoc-hien","ngoc-hien","res_city_83","Huyện Ngọc Hiển","700000"
"res_country_district_22","VN-22-que-phong","que-phong","res_city_84","Huyện Quế Phong","700000"
"res_country_district_23","VN-22-quy-chau","quy-chau","res_city_84","Huyện Quỳ Châu","700000"
"res_country_district_24","VN-22-ky-son","ky-son","res_city_84","Huyện Kỳ Sơn","700000"
"res_country_district_25","VN-22-tuong-duong","tuong-duong","res_city_84","Huyện Tương Dương","700000"
"res_country_district_26","VN-22-nghia-dan","nghia-dan","res_city_84","Huyện Nghĩa Đàn","700000"
"res_country_district_27","VN-22-quy-hop","quy-hop","res_city_84","Huyện Quỳ Hợp","700000"
"res_country_district_28","VN-22-quynh-luu","quynh-luu","res_city_84","Huyện Quỳnh Lưu","700000"
"res_country_district_29","VN-22-con-cuong","con-cuong","res_city_84","Huyện Con Cuông","700000"
"res_country_district_30","VN-22-tan-ky","tan-ky","res_city_84","Huyện Tân Kỳ","700000"
"res_country_district_31","VN-22-anh-son","anh-son","res_city_84","Huyện Anh Sơn","700000"
"res_country_district_32","VN-22-dien-chau","dien-chau","res_city_84","Huyện Diễn Châu","700000"
"res_country_district_33","VN-22-yen-thanh","yen-thanh","res_city_84","Huyện Yên Thành","700000"
"res_country_district_34","VN-22-do-luong","do-luong","res_city_84","Huyện Đô Lương","700000"
"res_country_district_35","VN-22-thanh-chuong","thanh-chuong","res_city_84","Huyện Thanh Chương","700000"
"res_country_district_36","VN-22-nghi-loc","nghi-loc","res_city_84","Huyện Nghi Lộc","700000"
"res_country_district_37","VN-22-nam-dan","nam-dan","res_city_84","Huyện Nam Đàn","700000"
"res_country_district_38","VN-22-hung-nguyen","hung-nguyen","res_city_84","Huyện Hưng Nguyên","700000"
"res_country_district_39","VN-49-long-ho","long-ho","res_city_85","Huyện Long Hồ","700000"
"res_country_district_40","VN-49-mang-thit","mang-thit","res_city_85","Huyện Mang Thít","700000"
"res_country_district_41","VN-49-vung-liem","vung-liem","res_city_85","Huyện  Vũng Liêm","700000"
"res_country_district_42","VN-49-tam-binh","tam-binh","res_city_85","Huyện Tam Bình","700000"
"res_country_district_43","VN-49-tra-on","tra-on","res_city_85","Huyện Trà Ôn","700000"
"res_country_district_44","VN-49-binh-tan","binh-tan","res_city_85","Huyện Bình Tân","700000"
"res_country_district_45","VN-24-minh-hoa","minh-hoa","res_city_86","Huyện Minh Hóa","700000"
"res_country_district_46","VN-24-tuyen-hoa","tuyen-hoa","res_city_86","Huyện Tuyên Hóa","700000"
"res_country_district_47","VN-24-quang-trach","quang-trach","res_city_86","Huyện Quảng Trạch","700000"
"res_country_district_48","VN-24-bo-trach","bo-trach","res_city_86","Huyện Bố Trạch","700000"
"res_country_district_49","VN-24-quang-ninh","quang-ninh","res_city_86","Huyện Quảng Ninh","700000"
"res_country_district_50","VN-24-le-thuy","le-thuy","res_city_86","Huyện Lệ Thủy","700000"
"res_country_district_51","VN-HP-hong-bang","hong-bang","res_city_87","Quận Hồng Bàng","700000"
"res_country_district_52","VN-HP-ngo-quyen","ngo-quyen","res_city_87","Quận Ngô Quyền","700000"
"res_country_district_53","VN-HP-le-chan","le-chan","res_city_87","Quận Lê Chân","700000"
"res_country_district_54","VN-HP-hai-an","hai-an","res_city_87","Quận Hải An","700000"
"res_country_district_55","VN-HP-kien-an","kien-an","res_city_87","Quận Kiến An","700000"
"res_country_district_56","VN-HP-do-son","do-son","res_city_87","Quận Đồ Sơn","700000"
"res_country_district_57","VN-HP-duong-kinh","duong-kinh","res_city_87","Quận Dương Kinh","700000"
"res_country_district_58","VN-HP-thuy-nguyen","thuy-nguyen","res_city_87","Huyện Thuỷ Nguyên","700000"
"res_country_district_59","VN-HP-an-duong","an-duong","res_city_87","Huyện An Dương","700000"
"res_country_district_60","VN-HP-an-lao","an-lao","res_city_87","Huyện An Lão","700000"
"res_country_district_61","VN-HP-kien-thuy","kien-thuy","res_city_87","Huyện Kiến Thuỵ","700000"
"res_country_district_62","VN-HP-tien-lang","tien-lang","res_city_87","Huyện Tiên Lãng","700000"
"res_country_district_63","VN-HP-vinh-bao","vinh-bao","res_city_87","Huyện Vĩnh Bảo","700000"
"res_country_district_64","VN-HP-cat-hai","cat-hai","res_city_87","Huyện Cát Hải","700000"
"res_country_district_65","VN-HP-bach-long-vi","bach-long-vi","res_city_87","Huyện Bạch Long Vĩ","700000"
"res_country_district_66","VN-HN-ba-dinh","ba-dinh","res_city_88","Quận Ba Đình","700000"
"res_country_district_67","VN-HN-hoan-kiem","hoan-kiem","res_city_88","Quận Hoàn Kiếm","700000"
"res_country_district_68","VN-HN-tay-ho","tay-ho","res_city_88","Quận Tây Hồ","700000"
"res_country_district_69","VN-HN-long-bien","long-bien","res_city_88","Quận Long Biên","700000"
"res_country_district_70","VN-HN-cau-giay","cau-giay","res_city_88","Quận Cầu Giấy","700000"
"res_country_district_71","VN-HN-dong-da","dong-da","res_city_88","Quận Đống Đa","700000"
"res_country_district_72","VN-HN-hai-ba-trung","hai-ba-trung","res_city_88","Quận Hai Bà Trưng","700000"
"res_country_district_73","VN-HN-hoang-mai","hoang-mai","res_city_88","Quận Hoàng Mai","700000"
